Masking,Masking Categories,Age,Gender,Race,Prior Condition,Political Affiliation,Has Primary Care Physician,Education,Housing Status,Insurance Status,Internet,News,Family or Friends,Pamphlets,Community Organizations,Coworkers or Classmates,Health Care Professionals,Government Health Department,Other,No Information,Reason No Access to Masks,Reason Do Not Believe in Efficacy,Reason Ran Out of Masks,Reason Pressured Not to Wear Mask,Reason Makes it Hard to Work,Reason Uncomfortable,Reason Previously Wore But Got Tired,Reason Makes Breathing Difficult,Reason Masks No Longer Recommended,Reason Other
Infrequently,Infrequent,45-64,Male,Hispanic or Latinx,No,No Affiliation,Yes,Graduate or Professional Degree,Housed,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
Never,Infrequent,45-64,Female,White Non-Latinx,No,No Affiliation,Yes,Graduate or Professional Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Never,Infrequent,65-84,Missing,White Non-Latinx,No,Missing,Yes,High School or Less,Housed,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Majority,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,White Non-Latinx,Yes,Republican,Yes,Some College,Housed,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Male,White Non-Latinx,Yes,Independent,No,College Degree,Housed,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Never,Infrequent,45-64,Female,White Non-Latinx,Yes,Republican,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Always,Frequent,84-99,Female,White Non-Latinx,Yes,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,African American / Black,Yes,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Female,African American / Black,No,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,White Non-Latinx,Yes,Independent,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,African American / Black,No,Missing,Yes,Some College,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,African American / Black,Yes,No Affiliation,Yes,Some College,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,Missing,No Affiliation,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,Multiracial,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Female,White Non-Latinx,Yes,Independent,Yes,Some College,Housed,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Always,Frequent,45-64,Male,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,65-84,Male,Missing,Yes,Independent,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Majority,Frequent,35-44,Male,African American / Black,Yes,Democrat,Yes,College Degree,Housed,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,65-84,Male,White Non-Latinx,Yes,Republican,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Always,Frequent,35-44,Male,Hispanic or Latinx,No,Missing,No,High School or Less,Unhoused,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,Asian,Yes,Independent,Yes,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Native American,No,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,White Non-Latinx,No,No Affiliation,Missing,College Degree,Housed,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,African American / Black,No,Missing,Yes,College Degree,Unhoused,Missing,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,African American / Black,Yes,No Affiliation,Yes,Some College,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,White Non-Latinx,No,Independent,No,Graduate or Professional Degree,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,Multiracial,Yes,Republican,Yes,Some College,Housed,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,White Non-Latinx,No,Independent,No,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,White Non-Latinx,No,Democrat,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,No,Democrat,No,High School or Less,Unhoused,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,Some College,Unhoused,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Always,Frequent,35-44,Female,White Non-Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Yes,Missing,No,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Male,African American / Black,Missing,No Affiliation,No,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,No,Missing,No,Missing,Unhoused,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,25-34,Female,Multiracial,Missing,Republican,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Missing,Missing,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Missing,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,White Non-Latinx,No,No Affiliation,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,No,Other,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Male,Multiracial,No,Other,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,African American / Black,No,Missing,No,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Male,Native Hawaiian / Pacific Islander,Yes,Independent,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,18-24,Male,White Non-Latinx,No,Republican,No,Some College,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,White Non-Latinx,No,Missing,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,White Non-Latinx,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,White Non-Latinx,No,No Affiliation,No,College Degree,Housed,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,No,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,White Non-Latinx,Yes,No Affiliation,Yes,Some College,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Native Hawaiian / Pacific Islander,Missing,Republican,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,African American / Black,No,No Affiliation,No,Some College,Unhoused,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,Native American,Yes,Independent,No,College Degree,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Male,White Non-Latinx,No,No Affiliation,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,35-44,Male,White Non-Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Always,Frequent,25-34,Male,White Non-Latinx,Yes,No Affiliation,No,Some College,Housed,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,African American / Black,Yes,Missing,Yes,Graduate or Professional Degree,Housed,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,25-34,Male,White Non-Latinx,No,Republican,No,High School or Less,Unhoused,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Always,Frequent,45-64,Male,African American / Black,Yes,Independent,Yes,High School or Less,Unhoused,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,18-24,Female,White Non-Latinx,No,No Affiliation,Yes,High School or Less,Missing,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Male,Hispanic or Latinx,No,Democrat,No,College Degree,Housed,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,African American / Black,No,No Affiliation,Yes,Graduate or Professional Degree,Housed,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,African American / Black,No,No Affiliation,Yes,High School or Less,Unhoused,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,Yes,Missing,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,25-34,Female,White Non-Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,African American / Black,Missing,Missing,Yes,Some College,Unhoused,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,45-64,Female,White Non-Latinx,No,No Affiliation,Yes,Some College,Housed,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Around Half,Frequent,18-24,Male,Hispanic or Latinx,No,Missing,Yes,High School or Less,Unhoused,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Asian,No,Missing,Missing,Some College,Housed,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,African American / Black,No,Missing,No,Some College,Housed,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,No,Independent,Yes,High School or Less,Housed,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,Yes,Republican,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Male,White Non-Latinx,No,No Affiliation,No,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Yes,Republican,Yes,High School or Less,Housed,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,White Non-Latinx,No,No Affiliation,Yes,Some College,Unhoused,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,White Non-Latinx,Missing,Multiparty,No,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,White Non-Latinx,No,Democrat,No,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,White Non-Latinx,No,No Affiliation,Yes,College Degree,Housed,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,35-44,Male,White Non-Latinx,No,No Affiliation,No,High School or Less,Unhoused,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,White Non-Latinx,No,Republican,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,18-24,Male,African American / Black,No,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,White Non-Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,Yes,Democrat,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,White Non-Latinx,No,No Affiliation,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,No,Missing,Yes,Some College,Housed,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,White Non-Latinx,Missing,Democrat,No,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Male,African American / Black,No,Independent,No,High School or Less,Unhoused,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,25-34,Female,African American / Black,Yes,Independent,No,High School or Less,Unhoused,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,No,Republican,No,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,25-34,Female,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Always,Frequent,45-64,Male,African American / Black,Yes,Democrat,No,High School or Less,Unhoused,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Male,African American / Black,Yes,Democrat,Yes,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,35-44,Male,White Non-Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,African American / Black,Yes,Independent,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,No,Missing,Yes,High School or Less,Housed,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Female,African American / Black,Yes,Democrat,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,White Non-Latinx,Yes,Independent,Yes,College Degree,Housed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Male,Multiracial,No,No Affiliation,Missing,High School or Less,Housed,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,35-44,Female,White Non-Latinx,No,No Affiliation,Yes,High School or Less,Housed,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No
Always,Frequent,35-44,Female,Asian,No,Democrat,Yes,College Degree,Housed,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,African American / Black,Missing,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,65-84,Female,White Non-Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Around Half,Frequent,45-64,Male,White Non-Latinx,No,Republican,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Male,Other,No,Independent,Yes,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Female,White Non-Latinx,No,Independent,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Male,White Non-Latinx,Yes,Republican,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Never,Infrequent,45-64,Female,Hispanic or Latinx,No,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Always,Frequent,45-64,Male,African American / Black,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,45-64,Male,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Infrequently,Infrequent,18-24,Male,White Non-Latinx,No,Independent,No,Some College,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,White Non-Latinx,Yes,Democrat,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,Yes,Independent,Yes,High School or Less,Housed,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Female,African American / Black,Yes,Missing,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Male,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,45-64,Female,Middle Eastern,Yes,No Affiliation,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,35-44,Female,White Non-Latinx,No,Missing,Yes,College Degree,Housed,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,White Non-Latinx,Missing,Democrat,Yes,Some College,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,Yes,Independent,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,35-44,Male,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Always,Frequent,45-64,Male,White Non-Latinx,Yes,Missing,Yes,Some College,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,No,Democrat,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Male,Hispanic or Latinx,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,African American / Black,Yes,Other,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,45-64,Female,African American / Black,Yes,Missing,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Female,White Non-Latinx,No,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Unhoused,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,65-84,Male,White Non-Latinx,No,Missing,Yes,Graduate or Professional Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Majority,Frequent,35-44,Female,Middle Eastern,No,Independent,No,Graduate or Professional Degree,Housed,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Yes,Independent,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,White Non-Latinx,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,45-64,Male,White Non-Latinx,No,Republican,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Infrequently,Infrequent,84-99,Female,White Non-Latinx,Yes,Republican,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Always,Frequent,35-44,Female,White Non-Latinx,Yes,Democrat,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,African American / Black,Yes,Missing,Yes,Some College,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,25-34,Female,Multiracial,No,Independent,Yes,Graduate or Professional Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,No,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,Native American,Yes,Republican,Yes,Some College,Housed,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,White Non-Latinx,Yes,Missing,Yes,Graduate or Professional Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
